Invoice_No,Date,Time,Buyer_Name,Buyer_Address,PAN,GSTIN,Item,Qty,Rate,Amount,CGST,SGST,Total,Terms,Source_File
INV/2025/0801,1974-04-30,17:47:39,Rati Batra,"88, Goyal, Hosur 173040",,,Details:,5,398,1990,179.1,179.1,2348.2,,invoice_india_106.txt
INV/2034/0759,1977-08-24,08:47:28,Trisha Varty,"44/295, Choudhry Street, Gangtok 689407",,,Details:,4,758,3032,272.88,272.88,3577.76,,invoice_india_107.jpg.txt
INV/2034/0759,1977-08-24,08:47:28,Trisha Varty,"44/295, Choudhry Street, Gangtok 689407",,,Details:,4,758,3032,272.88,272.88,3577.76,,invoice_india_107.txt
INV/2090/0435,2009-07-19,01:22:46,Vaibhav Sharma,"44/713, Devan, Chandigarh 669120",,43ABCDE11482Z51,Details:,1,994,994,89.46,89.46,1172.92,,invoice_india_108.jpg.txt
INV/2090/0435,2009-07-19,01:22:46,Vaibhav Sharma,"44/713, Devan, Chandigarh 669120",,43ABCDE11482Z51,Details:,1,994,994,89.46,89.46,1172.92,,invoice_india_108.txt
INV/2020/0053,2015-09-15,17:00:54,Amira Banik,"H.No. 334, Rama Street, Nangloi Jat-688306",,,Details:,1,719,719,64.71,64.71,848.42,,invoice_india_109.jpg.txt
INV/2020/0053,2015-09-15,17:00:54,Amira Banik,"H.No. 334, Rama Street, Nangloi Jat-688306",,,Details:,1,719,719,64.71,64.71,848.42,,invoice_india_109.txt
INV/2078/0529,2003-03-24,15:06:55,Ojas Rau,"27/64, Shere Nagar, Rewa 865457",,,Details:,5,428,2140,192.6,192.6,2525.2,,invoice_india_11.jpg.txt
INV/2078/0529,2003-03-24,15:06:55,Ojas Rau,"27/64, Shere Nagar, Rewa 865457",,,Details:,5,428,2140,192.6,192.6,2525.2,,invoice_india_11.txt
INV/2037/0930,1980-03-30,03:54:15,Yuvraj Chada,"34, Sule Path, Bangalore 401974",,,Details:,2,948,1896,170.64,170.64,2237.28,,invoice_india_110.jpg.txt
INV/2037/0930,1980-03-30,03:54:15,Yuvraj Chada,"34, Sule Path, Bangalore 401974",,,Details:,2,948,1896,170.64,170.64,2237.28,,invoice_india_110.txt
INV/2010/0113,2004-07-07,19:00:15,Taran Sen,"30/93, Mani Circle, Solapur-432201",,,Details:,2,288,576,51.84,51.84,679.68,,invoice_india_111.jpg.txt
INV/2010/0113,2004-07-07,19:00:15,Taran Sen,"30/93, Mani Circle, Solapur-432201",,,Details:,2,288,576,51.84,51.84,679.68,,invoice_india_111.txt
INV/2057/0926,1978-01-03,10:08:00,Adira Kala,"196, Sheth Marg, Amravati-632133",,,Details:,4,648,2592,233.28,233.28,3058.56,,invoice_india_112.jpg.txt
INV/2057/0926,1978-01-03,10:08:00,Adira Kala,"196, Sheth Marg, Amravati-632133",,,Details:,4,648,2592,233.28,233.28,3058.56,,invoice_india_112.txt
INV/2037/0250,1992-07-10,23:18:34,Raunak Chokshi,"766, Deo Ganj, Dindigul-014234",,,Details:,5,776,3880,349.2,349.2,4578.4,,invoice_india_113.jpg.txt
INV/2037/0250,1992-07-10,23:18:34,Raunak Chokshi,"766, Deo Ganj, Dindigul-014234",,,Details:,5,776,3880,349.2,349.2,4578.4,,invoice_india_113.txt
INV/2019/0583,2014-03-02,19:45:49,Eshani Thaker,"479, Rao Road, Thiruvananthapuram 714858",,,Details:,1,673,673,60.57,60.57,794.14,,invoice_india_114.jpg.txt
INV/2019/0583,2014-03-02,19:45:49,Eshani Thaker,"479, Rao Road, Thiruvananthapuram 714858",,,Details:,1,673,673,60.57,60.57,794.14,,invoice_india_114.txt
INV/2098/0648,1995-07-30,22:48:46,Abram Sur,"H.No. 248, Andra Road, Ongole 104849",,,Details:,4,863,3452,310.68,310.68,4073.36,,invoice_india_115.jpg.txt
INV/2098/0648,1995-07-30,22:48:46,Abram Sur,"H.No. 248, Andra Road, Ongole 104849",,,Details:,4,863,3452,310.68,310.68,4073.36,,invoice_india_115.txt
INV/2033/0655,2017-06-07,14:32:09,Jayesh Agrawal,"H.No. 34, Kalla, Raurkela Industrial Township-392274",,,Details:,4,574,2296,206.64,206.64,2709.28,,invoice_india_116.jpg.txt
INV/2033/0655,2017-06-07,14:32:09,Jayesh Agrawal,"H.No. 34, Kalla, Raurkela Industrial Township-392274",,,Details:,4,574,2296,206.64,206.64,2709.28,,invoice_india_116.txt
INV/2008/0837,1993-10-05,18:49:38,Romil Ganesh,"H.No. 484, Wali Ganj, Narasaraopet-032626",,,Details:,4,797,3188,286.92,286.92,3761.84,,invoice_india_117.jpg.txt
INV/2008/0837,1993-10-05,18:49:38,Romil Ganesh,"H.No. 484, Wali Ganj, Narasaraopet-032626",,,Details:,4,797,3188,286.92,286.92,3761.84,,invoice_india_117.txt
INV/2074/0736,1977-08-14,22:23:07,Anahita Krishnan,"H.No. 94, Bajwa, Rampur 336381",,,Details:,3,392,1176,105.84,105.84,1387.68,,invoice_india_118.jpg.txt
INV/2074/0736,1977-08-14,22:23:07,Anahita Krishnan,"H.No. 94, Bajwa, Rampur 336381",,,Details:,3,392,1176,105.84,105.84,1387.68,,invoice_india_118.txt
INV/2048/0027,2007-09-04,05:15:44,Zaina Shanker,"H.No. 143, Kohli Ganj, Jnansi-201792",,0O3ABCDE6767Z71,Details:,1,511,511,45.99,45.99,602.98,,invoice_india_119.jpg.txt
INV/2048/0027,2007-09-04,05:15:44,Zaina Shanker,"H.No. 143, Kohli Ganj, Jhansi-201792",,,Details:,1,511,511,45.99,45.99,602.98,,invoice_india_119.txt
INV/2081/0069,1976-10-01,18:35:23,Dharmajan Chahal,"14, Ratta Ganj, Kirari Suleman Nagar-619014",,,Details:,3,717,2151,193.59,193.59,2538.18,,invoice_india_12.jpg.txt
INV/2081/0069,1976-10-01,18:35:23,Dharmajan Chahal,"14, Ratta Ganj, Kirari Suleman Nagar-619014",,,Details:,3,717,2151,193.59,193.59,2538.18,,invoice_india_12.txt
INV/2013/0849,2012-02-13,11:05:55,Dhanush Anand,"99/88, Vora Nagar, Bangalore 636267",,,Details:,1,224,224,20.16,20.16,264.32,,invoice_india_120.jpg.txt
INV/2013/0849,2012-02-13,11:05:55,Dhanush Anand,"99/88, Vora Nagar, Bangalore 636267",,,Details:,1,224,224,20.16,20.16,264.32,,invoice_india_120.txt
INV/2005/0118,1989-01-17,16:00:22,Biju Tara,"90/964, Ben Marg, Satara 597478",,,Details:,2,699,1398,125.82,125.82,1649.64,,invoice_india_121.jpg.txt
INV/2005/0118,1989-01-17,16:00:22,Biju Tara,"90/964, Ben Marg, Satara 597478",,,Details:,2,699,1398,125.82,125.82,1649.64,,invoice_india_121.txt
INV/2009/0942,1974-08-17,17:37:04,Manikya Sane,"97/24, Acharya Marg, Cuttack-160502",,,Details:,2,100,200,18.0,18.0,236.0,,invoice_india_122.jpg.txt
INV/2009/0942,1974-08-17,17:37:04,Manikya Sane,"97/24, Acharya Marg, Cuttack-160502",,,Details:,2,100,200,18.0,18.0,236.0,,invoice_india_122.txt
INV/2018/0418,2016-09-04,12:19:50,Anahita Mahajan,"84/515, Korpal Marg, North Dumdum-184168",,61ABCDE95992Z11,Details:,1,875,875,78.75,78.75,1032.5,,invoice_india_123.jpg.txt
INV/2018/0418,2016-09-04,12:19:50,Anahita Mahajan,"84/515, Korpal Marg, North Dumdum-184168",,,Details:,1,875,875,78.75,78.75,1032.5,,invoice_india_123.txt
INV/2079/0258,2006-07-01,20:02:02,Rania Ganesan,"87/03, Swaminathan Path, Ujjain 000349",,,Details:,3,190,570,51.3,51.3,672.6,,invoice_india_124.jpg.txt
INV/2079/0258,2006-07-01,20:02:02,Rania Ganesan,"87/03, Swaminathan Path, Ujjain 000349",,,Details:,3,190,570,51.3,51.3,672.6,,invoice_india_124.txt
INV/2055/0126,2016-05-19,07:25:14,Piya Sodhi,"H.No. 51, Sen Nagar, Madurai-858966",,,Details:,5,841,4205,378.45,378.45,4961.9,,invoice_india_125.jpg.txt
INV/2055/0126,2016-05-19,07:25:14,Piya Sodhi,"H.No. 51, Sen Nagar, Madurai-858966",,,Details:,5,841,4205,378.45,378.45,4961.9,,invoice_india_125.txt
INV/2072/0040,2021-11-08,11:58:09,Badal Varghese,"85, Deshmukh Zila, Cuttack-347422",,,Details:,3,263,789,71.01,71.01,931.02,,invoice_india_126.jpg.txt
INV/2072/0040,2021-11-08,11:58:09,Badal Varghese,"85, Deshmukh Zila, Cuttack-347422",,,Details:,3,263,789,71.01,71.01,931.02,,invoice_india_126.txt
INV/2018/0936,2022-03-27,20:18:50,Adah Banerjee,"48/36, Goel Road, Rewa 687872",,,Details:,2,442,884,79.56,79.56,1043.12,,invoice_india_127.jpg.txt
INV/2018/0936,2022-03-27,20:18:50,Adah Banerjee,"48/36, Goel Road, Rewa 687872",,,Details:,2,442,884,79.56,79.56,1043.12,,invoice_india_127.txt
INV/2045/0646,2019-03-17,15:29:10,Anya Hora,"05, Garde Circle, Bhiwandi 732296",,,Details:,2,602,1204,108.36,108.36,1420.72,,invoice_india_128.jpg.txt
INV/2045/0646,2019-03-17,15:29:10,Anya Hora,"05, Garde Circle, Bhiwandi 732296",,,Details:,2,602,1204,108.36,108.36,1420.72,,invoice_india_128.txt
INV/2021/0699,1988-01-19,12:45:32,Madhav Kapoor,"H.No. 768, Mangal Street, Tadepalligudem 042884",,0O3ABCDE7666Z51,Details:,1,228,228,20.52,20.52,269.04,,invoice_india_129.jpg.txt
INV/2021/0699,1988-01-19,12:45:32,Madhav Kapoor,"H.No. 768, Mangal Street, Tadepalligudem 042884",,,Details:,1,228,228,20.52,20.52,269.04,,invoice_india_129.txt
INV/2033/0592,2016-12-23,20:40:58,Veer Dave,"23/77, Bhatt Path, Panipat-524097",,,Details:,4,989,3956,356.04,356.04,4668.08,,invoice_india_13.jpg.txt
INV/2033/0592,2016-12-23,20:40:58,Veer Dave,"23/77, Bhatt Path, Panipat-524097",,,Details:,4,989,3956,356.04,356.04,4668.08,,invoice_india_13.txt
INV/2043/0637,1992-12-01,12:06:24,Ryan Dara,"431, Bali Ganj, Anantapur-739244",,,Details:,4,778,3112,280.08,280.08,3672.16,,invoice_india_130.jpg.txt
INV/2043/0637,1992-12-01,12:06:24,Ryan Dara,"431, Bali Ganj, Anantapur-739244",,,Details:,4,778,3112,280.08,280.08,3672.16,,invoice_india_130.txt
INV/2066/0484,1971-04-08,04:01:30,Kartik Bhandari,"H.No. 03, Devi Marg, Chandrapur 694999",,,Details:,3,965,2895,260.55,260.55,3416.1,,invoice_india_131.jpg.txt
INV/2066/0484,1971-04-08,04:01:30,Kartik Bhandari,"H.No. 03, Devi Marg, Chandrapur 694999",,,Details:,3,965,2895,260.55,260.55,3416.1,,invoice_india_131.txt
INV/2075/0508,1977-12-31,23:23:32,Neelofar Mallick,"88, Gera Circle, Ambattur-163416",,,Details:,5,591,2955,265.95,265.95,3486.9,,invoice_india_132.jpg.txt
INV/2075/0508,1977-12-31,23:23:32,Neelofar Mallick,"88, Gera Circle, Ambattur-163416",,,Details:,5,591,2955,265.95,265.95,3486.9,,invoice_india_132.txt
INV/2052/0465,2005-04-05,22:22:12,Hridaan Som,"H.No. 94, Garde Path, Durg-485973",,,Details:,1,169,169,15.21,15.21,199.42,,invoice_india_133.jpg.txt
INV/2052/0465,2005-04-05,22:22:12,Hridaan Som,"H.No. 94, Garde Path, Durg-485973",,,Details:,1,169,169,15.21,15.21,199.42,,invoice_india_133.txt
INV/2087/0869,1973-05-28,06:45:34,Pari Kunda,"57, Sawhney Marg, Ambattur-661788",,,Details:,5,603,3015,271.35,271.35,3557.7,,invoice_india_134.jpg.txt
INV/2087/0869,1973-05-28,06:45:34,Pari Kunda,"57, Sawhney Marg, Ambattur-661788",,,Details:,5,603,3015,271.35,271.35,3557.7,,invoice_india_134.txt
INV/2034/0434,2001-12-03,06:04:48,Mohanlal Rajan,"H.No. 75, Goda, Faridabad 590754",,,Details:,5,714,3570,321.3,321.3,4212.6,,invoice_india_135.jpg.txt
INV/2034/0434,2001-12-03,06:04:48,Mohanlal Rajan,"H.No. 75, Goda, Faridabad 590754",,,Details:,5,714,3570,321.3,321.3,4212.6,,invoice_india_135.txt
INV/2020/0399,2001-11-21,11:05:57,Adah Srinivas,"07/77, Balan Marg, Machilipatnam 057300",,,Details:,5,716,3580,322.2,322.2,4224.4,,invoice_india_136.jpg.txt
INV/2020/0399,2001-11-21,11:05:57,Adah Srinivas,"07/77, Balan Marg, Machilipatnam 057300",,,Details:,5,716,3580,322.2,322.2,4224.4,,invoice_india_136.txt
INV/2021/0276,2010-05-01,11:17:08,Divij Savant,"77, Reddy Nagar, Vijayawada-911836",,,Details:,5,230,1150,103.5,103.5,1357.0,,invoice_india_137.jpg.txt
INV/2021/0276,2010-05-01,11:17:08,Divij Savant,"77, Reddy Nagar, Vijayawada-911836",,,Details:,5,230,1150,103.5,103.5,1357.0,,invoice_india_137.txt
INV/2016/0534,2007-08-02,04:21:27,Rania Shankar,"09/681, Kumar Ganj, Rampur-632311",,,Details:,5,174,870,78.3,78.3,1026.6,,invoice_india_138.jpg.txt
INV/2016/0534,2007-08-02,04:21:27,Rania Shankar,"09/681, Kumar Ganj, Rampur-632311",,,Details:,5,174,870,78.3,78.3,1026.6,,invoice_india_138.txt
INV/2013/0041,1993-07-14,12:23:58,Tejas Solanki,"44, Mammen Road, Kottayam 126264",,,Details:,3,143,429,38.61,38.61,506.22,,invoice_india_139.jpg.txt
INV/2013/0041,1993-07-14,12:23:58,Tejas Solanki,"44, Mammen Road, Kottayam 126264",,,Details:,3,143,429,38.61,38.61,506.22,,invoice_india_139.txt
INV/2081/0462,2015-12-12,17:29:43,Mahika Jha,"H.No. 49, Dugal Zila, Kota 432471",,,Details:,2,434,868,78.12,78.12,1024.24,,invoice_india_14.jpg.txt
INV/2081/0462,2015-12-12,17:29:43,Mahika Jha,"H.No. 49, Dugal Zila, Kota 432471",,,Details:,2,434,868,78.12,78.12,1024.24,,invoice_india_14.txt
INV/2011/0493,1974-10-15,05:23:02,Ivan Sahota,"38/60, Bala Ganj, Gandhidham 649994",,,Details:,2,117,234,21.06,21.06,276.12,,invoice_india_140.jpg.txt
INV/2011/0493,1974-10-15,05:23:02,Ivan Sahota,"38/60, Bala Ganj, Gandhidham 649994",,,Details:,2,117,234,21.06,21.06,276.12,,invoice_india_140.txt
INV/2043/0045,1984-06-28,22:48:26,Shanaya Sarkar,"H.No. 110, Gara Ganj, Panchkula 974456",,,Details:,5,709,3545,319.05,319.05,4183.1,,invoice_india_141.jpg.txt
INV/2043/0045,1984-06-28,22:48:26,Shanaya Sarkar,"H.No. 110, Gara Ganj, Panchkula 974456",,,Details:,5,709,3545,319.05,319.05,4183.1,,invoice_india_141.txt
INV/2059/0394,1992-09-20,04:06:36,Vardaniya Mani,"88/053, Chaudhry Path, Panvel 064844",,,Details:,5,393,1965,176.85,176.85,2318.7,,invoice_india_142.jpg.txt
INV/2059/0394,1992-09-20,04:06:36,Vardaniya Mani,"88/053, Chaudhry Path, Panvel 064844",,,Details:,5,393,1965,176.85,176.85,2318.7,,invoice_india_142.txt
INV/2008/0721,2009-01-27,06:57:38,Vidur Gupta,"51, Grewal Road, Howrah-860832",,,Details:,3,742,2226,200.34,200.34,2626.68,,invoice_india_143.jpg.txt
INV/2008/0721,2009-01-27,06:57:38,Vidur Gupta,"51, Grewal Road, Howrah-860832",,,Details:,3,742,2226,200.34,200.34,2626.68,,invoice_india_143.txt
INV/2013/0195,1977-04-13,20:40:19,Yuvraj Babu,"00/18, Chopra Path, Buxar 099078",,,Details:,3,706,2118,190.62,190.62,2499.24,,invoice_india_144.jpg.txt
INV/2013/0195,1977-04-13,20:40:19,Yuvraj Babu,"00/18, Chopra Path, Buxar 099078",,,Details:,3,706,2118,190.62,190.62,2499.24,,invoice_india_144.txt
INV/2081/0250,1987-07-16,23:22:20,Aayush Chander,"67, Bansal, Bhatpara 663645",,,Details:,2,350,700,63.0,63.0,826.0,,invoice_india_145.jpg.txt
INV/2081/0250,1987-07-16,23:22:20,Aayush Chander,"67, Bansal, Bhatpara 663645",,,Details:,2,350,700,63.0,63.0,826.0,,invoice_india_145.txt
INV/2076/0127,1991-06-11,23:11:39,Farhan Krishna,"97/77, Soni Nagar, Madanapalle 429730",,,Details:,4,472,1888,169.92,169.92,2227.84,,invoice_india_146.jpg.txt
INV/2076/0127,1991-06-11,23:11:39,Farhan Krishna,"97/77, Soni Nagar, Madanapalle 429730",,,Details:,4,472,1888,169.92,169.92,2227.84,,invoice_india_146.txt
INV/2090/0091,1979-11-23,11:59:23,Anaya Koshy,"H.No. 423, Kanda Road, Tiruvottiyur-143731",,,Details:,1,225,225,20.25,20.25,265.5,,invoice_india_147.jpg.txt
INV/2090/0091,1979-11-23,11:59:23,Anaya Koshy,"H.No. 423, Kanda Road, Tiruvottiyur-143731",,,Details:,1,225,225,20.25,20.25,265.5,,invoice_india_147.txt
INV/2053/0365,1997-08-16,00:56:31,Shayak Khurana,"96, Raja Street, Bareilly 185628",,0OOABCDE7819Z11,Details:,5,318,1590,143.1,143.1,1876.2,,invoice_india_148.jpg.txt
INV/2053/0365,1997-08-16,00:56:31,Shayak Khurana,"96, Raja Street, Bareilly 185628",,,Details:,5,318,1590,143.1,143.1,1876.2,,invoice_india_148.txt
INV/2077/0718,1987-01-23,04:45:31,Diya Ramesh,"43/499, Bahl Path, Tirupati 195725",,,Details:,2,331,662,59.58,59.58,781.16,,invoice_india_149.jpg.txt
INV/2077/0718,1987-01-23,04:45:31,Diya Ramesh,"43/499, Bahl Path, Tirupati 195725",,,Details:,2,331,662,59.58,59.58,781.16,,invoice_india_149.txt
INV/2017/0252,2003-08-20,12:44:40,Kartik Dhar,"H.No. 106, Trivedi Ganj, Ujjain-140760",,,Details:,1,238,238,21.42,21.42,280.84,,invoice_india_15.jpg.txt
INV/2017/0252,2003-08-20,12:44:40,Kartik Dhar,"H.No. 106, Trivedi Ganj, Ujjain-140760",,,Details:,1,238,238,21.42,21.42,280.84,,invoice_india_15.txt
INV/2046/0281,1986-07-04,02:16:12,Kimaya Raman,"H.No. 57, Dave, Tirupati-859532",,,Details:,1,321,321,28.89,28.89,378.78,,invoice_india_150.jpg.txt
INV/2046/0281,1986-07-04,02:16:12,Kimaya Raman,"H.No. 57, Dave, Tirupati-859532",,,Details:,1,321,321,28.89,28.89,378.78,,invoice_india_150.txt
INV/2005/0627,2015-12-25,01:58:10,Kismat Dass,"34, Balasubramanian Circle, Kharagpur 737733",,,Details:,3,211,633,56.97,56.97,746.94,,invoice_india_151.jpg.txt
INV/2005/0627,2015-12-25,01:58:10,Kismat Dass,"34, Balasubramanian Circle, Kharagpur 737733",,,Details:,3,211,633,56.97,56.97,746.94,,invoice_india_151.txt
INV/2009/0469,1995-03-08,22:03:51,Samaira Saxena,"19/913, Dugar Chowk, Bharatpur 301482",,,Details:,3,803,2409,216.81,216.81,2842.62,,invoice_india_152.jpg.txt
INV/2009/0469,1995-03-08,22:03:51,Samaira Saxena,"19/913, Dugar Chowk, Bharatpur 301482",,,Details:,3,803,2409,216.81,216.81,2842.62,,invoice_india_152.txt
INV/2067/0072,1992-04-25,03:27:41,Diya Talwar,"958, Sarna Road, Buxar 366752",,,Details:,3,936,2808,252.72,252.72,3313.44,,invoice_india_153.jpg.txt
INV/2067/0072,1992-04-25,03:27:41,Diya Talwar,"958, Sarna Road, Buxar 366752",,,Details:,3,936,2808,252.72,252.72,3313.44,,invoice_india_153.txt
INV/2019/0563,2008-10-27,06:57:20,Aayush Savant,"524, Wable Marg, Sirsa-788059",,,Details:,3,631,1893,170.37,170.37,2233.74,,invoice_india_154.jpg.txt
INV/2019/0563,2008-10-27,06:57:20,Aayush Savant,"524, Wable Marg, Sirsa-788059",,,Details:,3,631,1893,170.37,170.37,2233.74,,invoice_india_154.txt
INV/2001/0224,2024-10-03,13:29:34,Darshit Dani,"33/629, Hans Path, Berhampore-668022",,,Details:,3,825,2475,222.75,222.75,2920.5,,invoice_india_155.jpg.txt
INV/2001/0224,2024-10-03,13:29:34,Darshit Dani,"33/629, Hans Path, Berhampore-668022",,,Details:,3,825,2475,222.75,222.75,2920.5,,invoice_india_155.txt
INV/2002/0950,1980-02-25,10:33:58,Anahi Randhawa,"02, Batra Circle, Dewas 007438",,,Details:,1,870,870,78.3,78.3,1026.6,,invoice_india_156.jpg.txt
INV/2002/0950,1980-02-25,10:33:58,Anahi Randhawa,"02, Batra Circle, Dewas 007438",,,Details:,1,870,870,78.3,78.3,1026.6,,invoice_india_156.txt
INV/2003/0317,1983-06-04,22:34:50,Madhav Konda,"H.No. 53, Lad Ganj, Bhalswa Jahangir Pur-334881",,,Details:,4,152,608,54.72,54.72,717.44,,invoice_india_157.jpg.txt
INV/2003/0317,1983-06-04,22:34:50,Madhav Konda,"H.No. 53, Lad Ganj, Bhalswa Jahangir Pur-334881",,,Details:,4,152,608,54.72,54.72,717.44,,invoice_india_157.txt
INV/2010/0276,1973-03-01,08:10:12,Tiya Dhaliwal,"917, Garde Road, Ahmednagar-229334",,,Details:,5,256,1280,115.2,115.2,1510.4,,invoice_india_158.jpg.txt
INV/2010/0276,1973-03-01,08:10:12,Tiya Dhaliwal,"917, Garde Road, Ahmednagar-229334",,,Details:,5,256,1280,115.2,115.2,1510.4,,invoice_india_158.txt
INV/2058/0658,2006-02-10,21:12:37,Suhana Savant,"01/745, Varty Nagar, Sikar-168433",,,Details:,5,363,1815,163.35,163.35,2141.7,,invoice_india_159.jpg.txt
INV/2058/0658,2006-02-10,21:12:37,Suhana Savant,"01/745, Varty Nagar, Sikar-168433",,,Details:,5,363,1815,163.35,163.35,2141.7,,invoice_india_159.txt
INV/2013/0581,2020-11-28,08:42:06,Vidur Lata,"66/506, Tripathi Circle, Chennai 851680",,,Details:,4,124,496,44.64,44.64,585.28,,invoice_india_16.jpg.txt
INV/2013/0581,2020-11-28,08:42:06,Vidur Lata,"66/506, Tripathi Circle, Chennai 851680",,,Details:,4,124,496,44.64,44.64,585.28,,invoice_india_16.txt
INV/2065/0053,1973-03-22,23:46:23,Kashvi Sekhon,"H.No. 52, Kumer, Sonipat 320432",,,Details:,5,769,3845,346.05,346.05,4537.1,,invoice_india_160.jpg.txt
INV/2065/0053,1973-03-22,23:46:23,Kashvi Sekhon,"H.No. 52, Kumer, Sonipat 320432",,,Details:,5,769,3845,346.05,346.05,4537.1,,invoice_india_160.txt
INV/2004/0701,2022-02-06,16:00:13,Oorja Mani,"89, Sanghvi Road, Jaunpur-993917",,,Details:,3,366,1098,98.82,98.82,1295.64,,invoice_india_161.jpg.txt
INV/2004/0701,2022-02-06,16:00:13,Oorja Mani,"89, Sanghvi Road, Jaunpur-993917",,,Details:,3,366,1098,98.82,98.82,1295.64,,invoice_india_161.txt
INV/2008/0358,1981-12-23,06:06:52,Fateh Mangal,"H.No. 084, Anne Street, Amroha 304755",,,Details:,5,127,635,57.15,57.15,749.3,,invoice_india_162.jpg.txt
INV/2008/0358,1981-12-23,06:06:52,Fateh Mangal,"H.No. 084, Anne Street, Amroha 304755",,,Details:,5,127,635,57.15,57.15,749.3,,invoice_india_162.txt
INV/2029/0097,2000-09-21,16:54:09,Zain Chand,"63, Deshmukh Ganj, Bhatpara-173925",,,Details:,4,715,2860,257.4,257.4,3374.8,,invoice_india_163.jpg.txt
INV/2029/0097,2000-09-21,16:54:09,Zain Chand,"63, Deshmukh Ganj, Bhatpara-173925",,,Details:,4,715,2860,257.4,257.4,3374.8,,invoice_india_163.txt
INV/2048/0014,1981-12-03,22:17:56,Fateh Sachdeva,"H.No. 318, Mangat Zila, Nagpur 539033",,,Details:,5,777,3885,349.65,349.65,4584.3,,invoice_india_164.jpg.txt
INV/2048/0014,1981-12-03,22:17:56,Fateh Sachdeva,"H.No. 318, Mangat Zila, Nagpur 539033",,,Details:,5,777,3885,349.65,349.65,4584.3,,invoice_india_164.txt
INV/2029/0674,1984-03-16,20:00:19,Mannat Chowdhury,"893, Choudhary, Tirunelveli 840794",,,Details:,4,543,2172,195.48,195.48,2562.96,,invoice_india_165.jpg.txt
